run_id,condition,model,coop,mem,comm,initial_grass,neg_r,pos_r,fair_me,fair_oth,total_ticks,final_pool,final_herds,collapsed
20260515_233233_full-gabm,full-gabm,claude-sonnet-4-6,?,5,?,?,?,?,?,?,120,99.4,13.0/13.0/13.0,False
20260516_005208_hybrid,hybrid,claude-sonnet-4-6,?,5,?,?,?,?,?,?,54,0.0,0.0/0.0/0.0,True
20260516_011105_hybrid,hybrid,claude-sonnet-4-6,?,5,?,?,?,?,?,?,33,0.0,0.0/0.0/0.0,True
20260516_011536_hybrid,hybrid,claude-sonnet-4-6,?,5,?,?,?,?,?,?,60,0.0,0.0/0.0/0.0,True
20260516_071509_full-gabm,full-gabm,claude-sonnet-4-6,?,5,?,?,?,?,?,?,119,97.5,20.0/20.0/20.0,False
20260516_075015_full-gabm,full-gabm,claude-sonnet-4-6,?,5,?,?,?,?,?,?,120,89.6,28.0/28.0/28.0,False
20260516_083148_full-gabm,full-gabm,llama3.2:3b-instruct-q4_0,1,5,?,100,0,1,0,1,33,99.4,8.0/8.0/24.0,False
20260516_085639_full-gabm,full-gabm,llama3.2:3b-instruct-q4_0,1,5,?,48,0,1,0,1,51,99.0,18.0/6.0/22.0,False
20260516_093606_full-gabm,full-gabm,claude-sonnet-4-6,1,5,?,49,0,1,0,1,50,99.5,11.0/12.0/13.0,False
20260516_094859_full-gabm,full-gabm,claude-sonnet-4-6,0.3,5,?,50,0,1,0,0,50,99.3,12.0/14.0/16.0,False
20260516_103644_hybrid,hybrid,claude-sonnet-4-6,1,5,?,90,0,1,0,1,35,0.0,0.0/0.0/0.0,True
20260516_112902_full-gabm,full-gabm,gemma4:e4b,1,5,?,90,0,1,0,1,11,97.6,14.0/40.0/5.0,False
20260516_120254_full-gabm,full-gabm,gemma4:e4b,1,5,?,100,0,1,0,1,2,99.1,5.0/15.0/25.0,False
20260516_200643_full-gabm,full-gabm,deepseek-r1:32b,1,5,?,100,0,1,0,1,7,98.9,6.0/15.0/26.0,False
20260516_201712_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,100,0,1,0,1,40,99.0,6.0/15.0/25.0,False
20260516_202038_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,50,0,1,0.5,0.5,30,99.1,5.0/15.0/25.0,False
20260516_202309_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,50,0,1,1,0.5,3,0.0,0.0/0.0/0.0,True
20260516_202336_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,50,0,1,1,0.5,7,0.0,0.0/0.0/0.0,True
20260516_202422_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,100,0,1,1,0.5,29,0.0,0.0/0.0/0.0,True
20260516_202628_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,100,0,1,1,0.5,4,99.0,6.0/15.0/25.0,False
20260516_203343_full-gabm,full-gabm,gpt-5.4-mini,1,5,?,100,0,1,1,0.5,39,95.8,5.0/29.0/37.0,False
20260516_203754_full-gabm,full-gabm,gpt-5.5,1,5,?,100,0,1,1,0.11,2,99.1,6.0/15.0/25.0,False
20260516_203844_full-gabm,full-gabm,gpt-5.5,1,5,?,48,0,1,1,0.11,50,95.9,23.0/23.0/23.0,False
20260516_205231_full-gabm,full-gabm,gpt-5.5,0.13,5,?,48,0,1,1,0.11,14,0.0,0.0/0.0/0.0,True
20260516_205712_full-gabm,full-gabm,gpt-5.5,0.49,5,?,48,0.48,0.49,0.51,0.47,21,0.0,0.0/0.0/0.0,True
20260516_210721_full-gabm,full-gabm,gpt-5.5,0.49,5,?,100,0.48,0.49,0.51,0.47,29,0.0,0.0/0.0/0.0,True
20260516_211348_full-gabm,full-gabm,gpt-5.5,0.49,5,?,100,0.48,0.49,0.51,0.47,30,0.0,0.0/0.0/0.0,True
20260516_212058_full-gabm,full-gabm,gpt-5.5,0.49,5,?,100,0.48,0.49,0.51,0.47,41,0.0,0.0/0.0/0.0,True
20260516_213535_full-gabm,full-gabm,claude-sonnet-4-6,0.49,5,?,100,0.48,0.49,0.51,0.47,39,0.0,0.0/0.0/0.0,True
20260516_215251_full-gabm,full-gabm,claude-sonnet-4-6,1,5,?,100,1,0.43,0.51,0.47,31,98.8,16.0/16.0/16.0,False
20260516_220100_full-gabm,full-gabm,claude-sonnet-4-6,1,5,?,100,1,0.43,0.51,0.47,43,97.4,20.0/20.0/20.0,False
20260516_221156_full-gabm,full-gabm,gpt-5.5,1,5,?,100,1,0.43,0.51,0.47,20,98.2,12.0/21.0/22.0,False
20260516_223313_full-gabm,full-gabm,deepseek-r1:32b,1,5,?,100,1,0.51,0.48,0.44,55,97.9,6.0/20.0/31.0,False
20260517_081550_full-gabm,full-gabm,claude-sonnet-4-6,1,1,?,100,0,1,0,1,50,99.1,15.0/15.0/15.0,False
20260517_082841_full-gabm,full-gabm,claude-sonnet-4-6,1,1,?,50,0,1,0,1,25,99.3,14.0/14.0/14.0,False
20260517_084421_full-gabm,full-gabm,claude-sonnet-4-6,1,0,True,51,0,1,0,1,13,99.5,10.0/13.0/14.0,False
20260517_085145_full-gabm,full-gabm,claude-sonnet-4-6,1,0,False,50,0,1,0,1,10,99.1,8.0/17.0/19.0,False
20260517_085506_full-gabm,full-gabm,claude-sonnet-4-6,0.5,0,False,50,0.49,0.49,0.49,0.5,32,0.0,0.0/0.0/0.0,True
20260517_090333_full-gabm,full-gabm,claude-sonnet-4-6,0.5,15,True,50,0.49,0.49,0.49,0.5,120,94.1,25.0/25.0/25.0,False
20260517_093349_full-gabm,full-gabm,claude-sonnet-4-6,0.5,1,True,50,0.49,0.49,0.49,0.5,90,0.0,0.0/0.0/0.0,True
20260517_095452_full-gabm,full-gabm,claude-sonnet-4-6,0.5,3,True,50,0.49,0.49,0.49,0.5,120,90.1,24.0/28.0/29.0,False
20260517_102423_full-gabm,full-gabm,claude-sonnet-4-6,0.5,2,True,50,0.49,0.49,0.49,0.5,120,90.2,29.0/28.0/28.0,False
20260517_151330_full-gabm,full-gabm,claude-haiku-4-5,0.5,5,True,50,0.49,0.49,0.49,0.5,99,0.0,0.0/0.0/0.0,True
20260517_153122_full-gabm,full-gabm,claude-haiku-4-5,0.5,15,True,50,0.49,0.49,0.49,0.5,120,95.0,24.0/24.0/24.0,False
20260517_155133_full-gabm,full-gabm,claude-haiku-4-5,0.5,15,False,50,0.49,0.49,0.49,0.5,48,0.0,0.0/0.0/0.0,True
20260517_175151_full-gabm,full-gabm,deepseek-r1:32b,0.5,5,True,51,0.5,0.5,0.5,0.5,8,89.5,9.0/19.0/29.0,False
20260517_205718_full-gabm,full-gabm,gemma4:e4b,1,5,True,100,0,1,0,1,1,99.4,4.0/14.0/25.0,False
20260517_210348_full-gabm,full-gabm,gemma4:e4b,0.5,5,True,50,0.5,1,0.5,0.5,96,0.0,0.0/0.0/0.0,True
20260518_114054_full-gabm,full-gabm,deepseek-r1:32b,0.5,15,True,50,0.5,0.5,0.5,0.5,1,52.1,6.0/16.0/26.0,False
20260518_125018_full-gabm,full-gabm,deepseek-r1:32b,0.5,15,True,50,0.5,0.5,0.5,0.5,69,0.0,0.0/0.0/0.0,True
20260518_133104_full-gabm,full-gabm,gemma4:e4b,0.5,15,True,41,0.5,0.5,0.5,0.5,86,100.0,90.0/99.0/111.0,False
20260518_192420_baseline,baseline,rule-based,1,5,True,100,1,1,1,0,116,0.0,0.0/0.0/0.0,True
20260518_203848_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203852_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203853_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203854_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203855_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203856_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203857_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203858_baseline,baseline,rule-based,0,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203913_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,122,99.9,9.0/9.0/9.0,False
20260518_203914_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203915_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,122,0.0184,3.0/nan/nan,False
20260518_203917_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,120,100.0,6.0/3.0/5.0,False
20260518_203918_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,120,100.0,9.0/8.0/8.0,False
20260518_203920_baseline,baseline,rule-based,0,5,True,100,0.5,1,0,1,121,12.0,nan/nan/nan,False
20260518_203936_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,129,0.0,0.0/0.0/0.0,True
20260518_203940_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_203942_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,130,0.0,0.0/0.0/0.0,True
20260518_203952_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203956_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203957_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203958_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_203959_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204000_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204002_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204003_baseline,baseline,rule-based,0.5,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204018_baseline,baseline,rule-based,0.5,5,True,100,0.5,1,0,1,120,100.0,7.0/7.0/6.0,False
20260518_204019_baseline,baseline,rule-based,0.5,5,True,100,0.5,1,0,1,122,100.0,6.0/5.0/5.0,False
20260518_204020_baseline,baseline,rule-based,0.5,5,True,100,0.5,1,0,1,120,98.8,15.0/16.0/18.0,False
20260518_204021_baseline,baseline,rule-based,0.5,5,True,100,0.5,1,0,1,120,100.0,7.0/6.0/8.0,False
20260518_204022_baseline,baseline,rule-based,0.5,5,True,100,0.5,1,0,1,120,100.0,9.0/6.0/8.0,False
20260518_204040_baseline,baseline,rule-based,0.5,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204041_baseline,baseline,rule-based,0.5,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204042_baseline,baseline,rule-based,0.5,5,True,100,1,1,0,1,132,0.0,0.0/0.0/0.0,True
20260518_204044_baseline,baseline,rule-based,0.5,5,True,100,1,1,0,1,123,1.0,0.0/nan/nan,False
20260518_204045_baseline,baseline,rule-based,0.5,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204057_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204058_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204059_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204100_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204101_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204102_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204103_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204121_baseline,baseline,rule-based,1,5,True,100,0.5,1,0,1,122,0.0422,7.0/nan/nan,False
20260518_204138_baseline,baseline,rule-based,1,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204141_baseline,baseline,rule-based,1,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204142_baseline,baseline,rule-based,1,5,True,100,1,1,0,1,122,0.0,0.0/0.0/0.0,True
20260518_204157_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204202_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204203_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204205_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204206_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204208_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204209_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204225_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204226_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204228_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204229_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204230_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204232_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204233_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_204249_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,100.0,4.0/4.0/4.0,False
20260518_204250_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,100.0,4.0/5.0/4.0,False
20260518_204251_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,122,100.0,5.0/6.0/7.0,False
20260518_204252_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,121,0.022,4.0/nan/nan,False
20260518_204253_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,100.0,4.0/5.0/4.0,False
20260518_204255_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,123,100.0,5.0/5.0/5.0,False
20260518_204308_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/5.0/4.0,False
20260518_204309_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204313_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/5.0,False
20260518_204314_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204315_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204316_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204317_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204318_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204320_baseline,baseline,rule-based,1,5,True,100,0,1,0.5,0.5,120,100.0,4.0/4.0/4.0,False
20260518_204333_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,4.0/4.0/4.0,False
20260518_204334_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,121,4.0,nan/nan/nan,False
20260518_204340_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,121,,nan/nan/nan,False
20260518_204341_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,4.0/4.0/4.0,False
20260518_204344_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,6.0/6.0/6.0,False
20260518_204345_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,4.0/4.0/4.0,False
20260518_204346_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,4.0/4.0/4.0,False
20260518_204347_baseline,baseline,rule-based,1,5,True,100,0,1,1,1,120,100.0,4.0/4.0/4.0,False
20260518_204400_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,122,,nan/nan/nan,False
20260518_204405_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,120,100.0,6.0/6.0/6.0,False
20260518_204406_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,121,,nan/nan/nan,False
20260518_204407_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,120,100.0,5.0/5.0/5.0,False
20260518_204408_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,120,100.0,5.0/5.0/5.0,False
20260518_204411_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,120,100.0,7.0/7.0/6.0,False
20260518_204412_baseline,baseline,rule-based,1,5,True,100,0,1,1,0,120,100.0,5.0/5.0/5.0,False
20260518_204428_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204429_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,129,0.0,0.0/0.0/0.0,True
20260518_204432_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,129,0.0,0.0/0.0/0.0,True
20260518_204433_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,129,0.0,0.0/0.0/0.0,True
20260518_204435_baseline,baseline,rule-based,0,5,True,100,1,1,0,1,120,0.0,0.0/0.0/0.0,True
20260518_204452_baseline,baseline,rule-based,0.5,5,True,100,1,1,1,0,128,0.0,0.0/0.0/0.0,True
20260518_204453_baseline,baseline,rule-based,0.5,5,True,100,1,1,1,0,120,0.0,0.0/0.0/0.0,True
20260518_204458_baseline,baseline,rule-based,0.5,5,True,100,1,1,1,0,120,0.0,0.0/0.0/0.0,True
20260518_205107_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205108_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205114_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205115_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205116_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205118_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,121,0.0,0.0/0.0/nan,True
20260518_205119_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205120_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205122_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205718_full-gabm,full-gabm,gemma4:e4b,0,5,True,100,0.5,1,0,1,86,0.0,15.0/13.0/22.0,True
20260518_212558_baseline,baseline,rule-based,1,5,True,100,0,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212610_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,100.0,8.0/8.0/8.0,False
20260518_212615_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,121,0.0505,9.0/nan/nan,False
20260518_212617_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,99.9,9.0/9.0/9.0,False
20260518_212618_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,99.9,9.0/9.0/9.0,False
20260518_212626_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212630_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212631_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212633_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212635_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212646_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212648_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212649_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212650_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212700_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212701_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212705_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212706_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212708_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212725_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_212728_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_212729_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212730_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212731_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212746_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212747_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212752_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,131,0.0,0.0/0.0/0.0,True
20260518_212753_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212808_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,13.0,nan/nan/nan,False
20260518_212810_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,99.6,12.0/12.0/12.0,False
20260518_212814_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,99.7,11.0/11.0/11.0,False
20260518_212815_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,121,15.0,nan/nan/nan,False
20260518_212830_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212831_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,122,99.9,8.0/8.0/9.0,False
20260518_212832_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/6.0/7.0,False
20260518_212833_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212834_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,122,0.0275,5.0/nan/nan,False
20260518_212835_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212836_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212847_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,121,3.0,nan/nan/nan,False
20260518_212850_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212854_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,121,4.0,nan/nan/nan,False
20260518_212910_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212913_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212915_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,123,0.0,0.0/0.0/0.0,True
20260518_212916_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212934_baseline,baseline,rule-based,1,5,True,100,0.5,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212937_baseline,baseline,rule-based,1,5,True,100,0.5,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212951_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,121,0.0,0.0/0.0/0.0,True
20260518_212954_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212955_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212956_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,133,0.0,0.0/0.0/0.0,True
20260518_212957_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
